time,POACTPQM1T_kW,POACTPQM2_kW,POACTPQM3_kW,FREQPQM1_Hz,FREQPQM2_Hz,VABPQM1T_volt,VBCPQM1T_volt,VCAPQM1T_volt,VABPQM2_volt,VBCPQM2_volt,VCAPQM2_volt,VABPQM3_volt,VBCPQM3_volt,VCAPQM3_volt,AMPAPQM1T_amp,AMPBPQM1T_amp,AMPCPQM1T_amp,AMPAPQM2_amp,AMPBPQM2_amp,AMPCPQM2_amp,AMPAPQM3_amp,AMPBPQM3_amp,AMPCPQM3_amp,PORETPQM1T_kvar,PORETPQM2_kvar,PORETPQM3_kvar,FPTPQM1T,FPTPQM2,FPTPQM3,DESVMPM1_%,DESAMPM1_%,DESVMPM2_%,DESAMPM2_%,DESVMPM3_%,DESAMPM3_%,THDVTPQM1T,THDITPQM1T,THDI11PQM1,THDI3PQM1,THDI5PQM1,THDI7PQM1,THDI9PQM1,THDITPQM1,THDV11PQM1,THDV3PQM1,THDV5PQM1,THDV7PQM1,THDV9PQM1,THDVTPQM1,TEMPTUBXIN_degF,PDP_PSIG,PIP_PSIG,TPMOTOR_degF,HORAS_ON,HORAS_OFF,HORAS_TOT,POT_HID,VOLUMEN_LIQUIDO,AGUA,CRUDO,BSW
2022-11-26T14:09:00.000Z,479.1,449.5,,,57,483.25,486.75,484.85,437.9,442.3,433.7,,,2917,617.7,630.3,620.8,788.2,,784.8,,,,,390.8,274.3,91.55,75.4,,0.756042386,1.182577055,1.990771259,,,,22.85,42.5,3.1,1.7,38.2,12.4,4.5,41.2,,,,,,22.1,200.65,2456.9,,252.9,,,,235.6033401,,,,
2022-11-26T14:12:00.000Z,479.4,451.9,451.2163288,,56.9,482.2,486.05,483.95,438.1,442.5,433.9,2945,3024,2918,618.7,631.3,621.3,788.1,,785.1,,,118.9,72.8,388.8,274,91.6,75.7,88.8,0.823045267,1.207716561,1.963368033,,4.170726954,,41.4,65.95,3.4,1,38.4,11.5,4.4,41.1,,,,,,9.3,200.69,2456.7,,252.1,,,,234.2617702,,,,
2022-11-26T14:15:00.000Z,479.2,450.8,450.7021421,,57,482.3,485.05,483.35,,,433.8,2944,,,,631.8,,787.9,784.1,784.8,,116.4,119,69.4,389.5,274.5,91.5,75.6,88.7,0.614925373,,,0.292769857,,,23.15,,3.2,1.8,37.9,12.3,4.6,,,,,,,21.7,200.73,,1002.1,251.5,,,,234.4018864,,,,
2022-11-26T14:18:00.000Z,479.8,450.1,,,56.9,484.25,487.6,485.85,438,442.4,,2943,3023,2917,616,629.7,,788.1,784.3,785,,116.5,,64.5,390.6,274,91.75,75.4,,0.701087279,,,0.292695342,4.173166927,,40.05,64.2,3.5,1,38.3,11.4,4.4,41.7,,,,,,10.8,200.73,,1002.1,251.5,,,,234.5842846,,,,
2022-11-26T14:21:00.000Z,480.3,452.1,452.3273341,,,483,486.7,485,438.1,,,,,,618.4,,,,784.1,,113,,,64.8,388.2,271.9,,75.8,88.9,,,,,,,22.85,42.7,2.9,1.1,38.7,10.9,4.5,41.3,,,,,,21.4,200.67,2458.3,1002.7,252.6,,,,234.4875262,,,,
2022-11-26T14:24:00.000Z,479.3,450,449.594814,,,482.25,485.85,483.75,438.4,442.8,434.1,2946,3026,2920,618.2,,621.1,787.3,783.6,784.3,112.8,116.3,118.9,73.5,390.6,274.4,,75.4,88.7,,,1.988411904,0.284476902,4.208065459,2.75862069,45.8,67.6,3.4,0.9,38.4,11.4,4.2,44.4,,,,,,18.1,200.67,2456.1,1002.1,251.9,1.05,0,1.05,233.9145512,,,,
2022-11-26T14:27:00.000Z,480,450.3,450.3643018,,,483.55,486.75,485.2,438.1,442.5,433.9,2943,3023,2917,618,,620.2,788,784.4,784.8,112.9,116.5,119,67.9,390.5,273,,75.5,88.8,0.666468313,,1.963368033,0.288477855,4.231669267,2.784156142,23.35,42.6,3.1,1.1,38.9,11.1,4.7,41.1,,,,,,22.5,200.67,2456.4,1002.8,252.9,,,,235.008754,,,,
2022-11-26T14:30:00.000Z,479.9,449.5,449.0048369,,,483.1,486,484.3,438.3,442.7,434.1,2945,3025,2920,617.8,630.7,620.7,787.9,784,784.6,112.8,116.4,118.9,69.5,391.5,272.3,91.6,75.3,88.9,0.643546657,1.225123047,1.975503753,0.305537874,4.189399844,2.786555587,22.75,,3.3,1.8,38,12.4,4.6,,,,,,,21.4,200.67,2457.2,1002.7,252.6,,,,234.0718151,,,,
2022-11-26T14:33:00.000Z,479.5,450.9,450.6202703,,57,483.05,486.6,484.95,438.1,442.5,433.8,2943,3024,2917,617.6,631.2,,788.1,784.2,784.7,,116.5,119,66.1,389.4,273.2,91.6,75.6,88.8,,,1.989984186,0.30971574,4.191850263,,22.8,42.65,3.1,1,38.7,11,,41.2,,,,,,21.3,,2457.2,,252.6,,,,235.3322701,,,,
2022-11-26T14:36:00.000Z,477.8,448.8,448.8354331,,,484.75,487.5,486.4,437.9,442.3,433.7,2942,3023,2916,,630.1,619.2,,,784.5,112.9,,,71.6,391.5,271.9,91.2,75.3,88.9,,,,,,,40.4,65.1,3.3,0.8,38.2,11.5,4.2,41.1,,,,,,9.2,200.7,2457,1003,252,,,,235.3731017,,,,
